ortholog	function	Homo_sapiens	Mus_musculus
ENOG410VA9E	palladin, cytoskeletal associated protein	ENSP00000425556, ENSP00000351790	ENSMUSP00000034057, ENSMUSP00000093240
ENOG410VA9G	fos-like antigen 2	ENSP00000264716	ENSMUSP00000031017
ENOG410VA9A	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	ENSP00000426909	ENSMUSP00000020640
ENOG410VA9I	hepatocyte nuclear factor 4	ENSP00000312987, ENSP00000379701	ENSMUSP00000018094, ENSMUSP00000017832
ENOG410VA9J	Homeobox D12	ENSP00000385586	ENSMUSP00000001878
ENOG410VA9U	transcriptional adaptor 2A	ENSP00000225396	ENSMUSP00000018795
ENOG410VA9V	Spermidine spermine N1-acetyltransferase 1	ENSP00000368572	ENSMUSP00000026318
ENOG410VA9Q	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	ENSP00000347206, ENSP00000456208	ENSMUSP00000023221
ENOG410VA95	calcyphosine 2	ENSP00000386959	ENSMUSP00000129887
ENOG410V9W7	retinitis pigmentosa GTPase regulator	ENSP00000367766	ENSMUSP00000037358
ENOG410V9W4	Leucine rich repeat and fibronectin type III domain containing 2	ENSP00000345985	ENSMUSP00000047573
ENOG410V9W3	LUC7-like 3 (S. cerevisiae)	ENSP00000240304	ENSMUSP00000021226
ENOG410V9W2	N-acylethanolamine acid amidase	ENSP00000286733	ENSMUSP00000108726
ENOG410V9W1	Component of oligomeric golgi complex 2	ENSP00000355629	ENSMUSP00000034460
ENOG410V9W0	prickle homolog 4 (Drosophila)	ENSP00000335185	ENSMUSP00000119045, ENSMUSP00000108925
ENOG410V9W9	forkhead box	ENSP00000326371, ENSP00000370256	ENSMUSP00000055290, ENSMUSP00000052196
ENOG410V9WG	kiaa1109	ENSP00000264501	ENSMUSP00000060199
ENOG410V9WF	Dopamine receptor D4	ENSP00000176183	ENSMUSP00000026569
ENOG410V9WE	suppressor APC domain containing 2	ENSP00000386348	ENSMUSP00000028329
ENOG410V9WD	Ribosomal protein S9	ENSP00000302896	ENSMUSP00000006496
ENOG410V9WC	Homeobox A2	ENSP00000222718	ENSMUSP00000014848
ENOG410V9WB	Hydroxysteroid 17-beta dehydrogenase	ENSP00000333300, ENSP00000351035	ENSMUSP00000031251, ENSMUSP00000046772
ENOG410V9WM	Glutamate receptor, ionotropic, delta	ENSP00000330148	ENSMUSP00000044009
ENOG410V9WK	SIX homeobox	ENSP00000216513, ENSP00000316842	ENSMUSP00000036150, ENSMUSP00000045973
ENOG410V9WJ	transmembrane BAX inhibitor motif containing 6	ENSP00000389277	ENSMUSP00000023749
ENOG410V9WI	caspase 14, apoptosis-related cysteine peptidase	ENSP00000221740	ENSMUSP00000005488
ENOG410V9WH	supervillin	ENSP00000348128	ENSMUSP00000025079
ENOG410V9WW	Premelanosome protein	ENSP00000402758	ENSMUSP00000051869
ENOG410V9WV	potassium channel tetramerisation domain containing 4	ENSP00000368402	ENSMUSP00000061734
ENOG410V9WU	polymerase (DNA directed), beta	ENSP00000265421	ENSMUSP00000033938
ENOG410V9WT	amyloid P component, serum	ENSP00000255040	ENSMUSP00000027816, ENSMUSP00000027824, ENSMUSP00000106855
