#ortholog	function	species_a	species_b
ENOG410VA9A	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	ENSPTRP00000038852	GB11076-PA
ENOG410VA9U	transcriptional adaptor 2A	ENSPTRP00000015434	GB30142-PA, GB16325-PA
ENOG410VA9Q	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	ENSPTRP00000035369	GB16907-PA
ENOG410V9W3	LUC7-like 3 (S. cerevisiae)	ENSPTRP00000015985	GB16659-PA
ENOG410V9W1	Component of oligomeric golgi complex 2	ENSPTRP00000003542	GB18283-PA
ENOG410V9W9	forkhead box	ENSPTRP00000053374	GB10529-PA
ENOG410V9WG	kiaa1109	ENSPTRP00000028187	GB14846-PA
ENOG410V9WE	suppressor APC domain containing 2	ENSPTRP00000040663	GB19241-PA
ENOG410V9WD	Ribosomal protein S9	ENSPTRP00000019678, ENSPTRP00000057704	GB12637-PA
ENOG410V9WC	Homeobox A2	ENSPTRP00000032491	GB11988-PA
ENOG410V9WK	SIX homeobox	ENSPTRP00000048612, ENSPTRP00000044052	GB10752-PA
ENOG410V9WJ	transmembrane BAX inhibitor motif containing 6	ENSPTRP00000008396	GB18030-PA
ENOG410V9WH	supervillin	ENSPTRP00000004060	GB16789-PA
ENOG410V9WU	polymerase (DNA directed), beta	ENSPTRP00000034604	GB18972-PA
ENOG410V9WQ	Tuberous sclerosis 1	ENSPTRP00000036797	GB12676-PA
ENOG410V9WP	OTU domain containing	ENSPTRP00000011725, ENSPTRP00000002112	GB17801-PA
ENOG410V9WY	Component of oligomeric golgi complex 5	ENSPTRP00000033525	GB19185-PA
ENOG410VEP8	Zinc finger, CCHC domain containing 9	ENSPTRP00000029184	GB15147-PA
ENOG410VEP3	Lysophospholipase-like 1	ENSPTRP00000003341	GB12082-PA
ENOG410VEPR	Zinc finger, matrin-type 5	ENSPTRP00000024512	GB19727-PA
ENOG410VEPV	TDP-glucose 4,6-dehydratase	ENSPTRP00000010139	GB10527-PA
ENOG410VEPI	G patch domain and ankyrin repeats 1	ENSPTRP00000030672	GB15824-PA
ENOG410VEPM	Ribosomal protein L11	ENSPTRP00000006759	GB19567-PA
ENOG410VEPA	NOP16 nucleolar protein homolog (Yeast)	ENSPTRP00000029988	GB14640-PA
ENOG410V4G7	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation	ENSPTRP00000006042	GB13583-PA
ENOG410V4GP	Kinesin family member	ENSPTRP00000025631, ENSPTRP00000030982	GB11772-PA
ENOG410V4GW	FIC domain containing	ENSPTRP00000009167	GB19583-PA
