ortholog	function	Homo_sapiens	Pan_troglodytes
ENOG410VA9E	palladin, cytoskeletal associated protein	ENSP00000351790, ENSP00000425556	ENSPTRP00000046961, ENSPTRP00000028462
ENOG410VA9A	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	ENSP00000426909	ENSPTRP00000038852
ENOG410VA9I	hepatocyte nuclear factor 4	ENSP00000379701, ENSP00000312987	ENSPTRP00000058378, ENSPTRP00000023221
ENOG410VA9J	Homeobox D12	ENSP00000385586	ENSPTRP00000060527
ENOG410VA9U	transcriptional adaptor 2A	ENSP00000225396	ENSPTRP00000015434
ENOG410VA9V	Spermidine spermine N1-acetyltransferase 1	ENSP00000368572	ENSPTRP00000037276
ENOG410VA9Q	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	ENSP00000347206, ENSP00000456208	ENSPTRP00000035369
ENOG410WEIV	Unknown	ENSP00000384175	ENSPTRP00000055536
ENOG410WEI5	Unknown	ENSP00000310465	ENSPTRP00000013280
ENOG410VA95	calcyphosine 2	ENSP00000386959	ENSPTRP00000008891
ENOG410V9W4	Leucine rich repeat and fibronectin type III domain containing 2	ENSP00000345985	ENSPTRP00000030995
ENOG410V9W3	LUC7-like 3 (S. cerevisiae)	ENSP00000240304	ENSPTRP00000015985
ENOG410V9W2	N-acylethanolamine acid amidase	ENSP00000286733	ENSPTRP00000027800
ENOG410V9W1	Component of oligomeric golgi complex 2	ENSP00000355629	ENSPTRP00000003542
ENOG410V9W0	prickle homolog 4 (Drosophila)	ENSP00000335185	ENSPTRP00000044495
ENOG410V9W9	forkhead box	ENSP00000370256, ENSP00000326371	ENSPTRP00000053374
ENOG410V9W8	Zinc finger protein	ENSP00000322545, ENSP00000263095, ENSP00000412999	ENSPTRP00000019870, ENSPTRP00000019874, ENSPTRP00000048470
ENOG410V9WG	kiaa1109	ENSP00000264501	ENSPTRP00000028187
ENOG410V9WF	Dopamine receptor D4	ENSP00000176183	ENSPTRP00000005517
ENOG410V9WE	suppressor APC domain containing 2	ENSP00000386348	ENSPTRP00000040663
ENOG410V9WD	Ribosomal protein S9	ENSP00000302896	ENSPTRP00000057704, ENSPTRP00000019678
ENOG410V9WC	Homeobox A2	ENSP00000222718	ENSPTRP00000032491
ENOG410V9WB	Hydroxysteroid 17-beta dehydrogenase	ENSP00000333300, ENSP00000351035	ENSPTRP00000044863, ENSPTRP00000027926
ENOG410V9WN	intraflagellar transport 80 homolog (Chlamydomonas)	ENSP00000456272	ENSPTRP00000026810
ENOG410V9WM	Glutamate receptor, ionotropic, delta	ENSP00000330148	ENSPTRP00000004712
ENOG410V9WK	SIX homeobox	ENSP00000216513, ENSP00000316842	ENSPTRP00000044052, ENSPTRP00000048612
ENOG410V9WJ	transmembrane BAX inhibitor motif containing 6	ENSP00000389277	ENSPTRP00000008396
ENOG410V9WI	caspase 14, apoptosis-related cysteine peptidase	ENSP00000221740	ENSPTRP00000060440
ENOG410V9WH	supervillin	ENSP00000348128	ENSPTRP00000004060
ENOG410V9WW	Premelanosome protein	ENSP00000402758	ENSPTRP00000008630
ENOG410V9WV	potassium channel tetramerisation domain containing 4	ENSP00000368402	ENSPTRP00000044297
ENOG410V9WU	polymerase (DNA directed), beta	ENSP00000265421	ENSPTRP00000034604
ENOG410V9WT	amyloid P component, serum	ENSP00000255040	ENSPTRP00000002570
ENOG410V9WS	SERTA domain containing 2	ENSP00000326933	ENSPTRP00000051930
ENOG410V9WR	Hydroxyacyl-CoA dehydrogenase	ENSP00000385638	ENSPTRP00000028089
ENOG410V9WQ	Tuberous sclerosis 1	ENSP00000298552	ENSPTRP00000036797
