ENOG410VA9E	ENSP00000351790, ENSP00000425556	ENSPTRP00000028462, ENSPTRP00000046961
ENOG410VA9A	ENSP00000426909	ENSPTRP00000038852
ENOG410VA9I	ENSP00000312987, ENSP00000379701	ENSPTRP00000058378, ENSPTRP00000023221
ENOG410VA9J	ENSP00000385586	ENSPTRP00000060527
ENOG410VA9U	ENSP00000225396	ENSPTRP00000015434
ENOG410VA9V	ENSP00000368572	ENSPTRP00000037276
ENOG410VA9Q	ENSP00000456208, ENSP00000347206	ENSPTRP00000035369
ENOG410WEIV	ENSP00000384175	ENSPTRP00000055536
ENOG410WEI5	ENSP00000310465	ENSPTRP00000013280
ENOG410VA95	ENSP00000386959	ENSPTRP00000008891
ENOG410V9W4	ENSP00000345985	ENSPTRP00000030995
ENOG410V9W3	ENSP00000240304	ENSPTRP00000015985
ENOG410V9W2	ENSP00000286733	ENSPTRP00000027800
ENOG410V9W1	ENSP00000355629	ENSPTRP00000003542
ENOG410V9W0	ENSP00000335185	ENSPTRP00000044495
ENOG410V9W9	ENSP00000370256, ENSP00000326371	ENSPTRP00000053374
ENOG410V9W8	ENSP00000322545, ENSP00000263095, ENSP00000412999	ENSPTRP00000019874, ENSPTRP00000048470, ENSPTRP00000019870
ENOG410V9WG	ENSP00000264501	ENSPTRP00000028187
ENOG410V9WF	ENSP00000176183	ENSPTRP00000005517
ENOG410V9WE	ENSP00000386348	ENSPTRP00000040663
ENOG410V9WD	ENSP00000302896	ENSPTRP00000057704, ENSPTRP00000019678
ENOG410V9WC	ENSP00000222718	ENSPTRP00000032491
ENOG410V9WB	ENSP00000351035, ENSP00000333300	ENSPTRP00000027926, ENSPTRP00000044863
ENOG410V9WN	ENSP00000456272	ENSPTRP00000026810
ENOG410V9WM	ENSP00000330148	ENSPTRP00000004712
ENOG410V9WK	ENSP00000216513, ENSP00000316842	ENSPTRP00000048612, ENSPTRP00000044052
ENOG410V9WJ	ENSP00000389277	ENSPTRP00000008396
ENOG410V9WI	ENSP00000221740	ENSPTRP00000060440
ENOG410V9WH	ENSP00000348128	ENSPTRP00000004060
ENOG410V9WW	ENSP00000402758	ENSPTRP00000008630
ENOG410V9WV	ENSP00000368402	ENSPTRP00000044297
ENOG410V9WU	ENSP00000265421	ENSPTRP00000034604
ENOG410V9WT	ENSP00000255040	ENSPTRP00000002570
ENOG410V9WS	ENSP00000326933	ENSPTRP00000051930
ENOG410V9WR	ENSP00000385638	ENSPTRP00000028089
ENOG410V9WQ	ENSP00000298552	ENSPTRP00000036797
ENOG410V9WP	ENSP00000305926, ENSP00000358131, ENSP00000462729	ENSPTRP00000011725, ENSPTRP00000002112
ENOG410V9WZ	ENSP00000392762, ENSP00000373570	ENSPTRP00000035527, ENSPTRP00000010137
ENOG410V9WY	ENSP00000297135	ENSPTRP00000033525
ENOG410VEP8	ENSP00000254037	ENSPTRP00000029184
ENOG410VEP9	ENSP00000378286	ENSPTRP00000006505
ENOG410VEP2	ENSP00000302393	ENSPTRP00000012181
ENOG410VEP3	ENSP00000355895	ENSPTRP00000003341
ENOG410VEP1	ENSP00000306099	ENSPTRP00000028385
ENOG410VEP6	ENSP00000335579	ENSPTRP00000023514
ENOG410VEP4	ENSP00000372684, ENSP00000372542, ENSP00000404833, ENSP00000407195, ENSP00000378546	ENSPTRP00000030816
ENOG410VEPR	ENSP00000344241	ENSPTRP00000024512
ENOG410VEPP	ENSP00000265605	ENSPTRP00000031795
ENOG410VEPV	ENSP00000261296	ENSPTRP00000010139
ENOG410VEPT	ENSP00000216629	ENSPTRP00000052508
ENOG410VEPU	ENSP00000344115	ENSPTRP00000013985
ENOG410VEPJ	ENSP00000305696	ENSPTRP00000017223
ENOG410VEPH	ENSP00000459762, ENSP00000461291, ENSP00000347714	ENSPTRP00000009446
ENOG410VEPI	ENSP00000390746, ENSP00000365057, ENSP00000388586, ENSP00000211377, ENSP00000389339, ENSP00000372926, ENSP00000399890	ENSPTRP00000030672
ENOG410VEPM	ENSP00000308897	ENSPTRP00000006759
ENOG410VEPC	ENSP00000461158, ENSP00000240687, ENSP00000240615, ENSP00000459504, ENSP00000458761, ENSP00000458498	ENSPTRP00000008011, ENSPTRP00000008012
ENOG410VEPA	ENSP00000373810	ENSPTRP00000029988
ENOG410VEPD	ENSP00000215939	ENSPTRP00000024446
ENOG410VEPE	ENSP00000304941	ENSPTRP00000009529
ENOG410V4G9	ENSP00000369677	ENSPTRP00000020186
ENOG410V4G6	ENSP00000264093	ENSPTRP00000020717
ENOG410V4G7	ENSP00000436049	ENSPTRP00000006042
ENOG410V4GP	ENSP00000287152, ENSP00000265529	ENSPTRP00000025631, ENSPTRP00000030982
ENOG410V4GV	ENSP00000376899	ENSPTRP00000001983
ENOG410V4GW	ENSP00000446479	ENSPTRP00000009167
ENOG410V4GT	ENSP00000306397	ENSPTRP00000018458, ENSPTRP00000024815
ENOG410V4GJ	ENSP00000372224, ENSP00000253496	ENSPTRP00000027328, ENSPTRP00000030035
