ortholog	function	Pan_troglodytes	Mus_musculus
ENOG410VA9E	palladin, cytoskeletal associated protein	ENSPTRP00000028462, ENSPTRP00000046961	ENSMUSP00000034057, ENSMUSP00000093240
ENOG410VA9A	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	ENSPTRP00000038852	ENSMUSP00000020640
ENOG410VA9I	hepatocyte nuclear factor 4	ENSPTRP00000023221, ENSPTRP00000058378	ENSMUSP00000017832, ENSMUSP00000018094
ENOG410VA9J	Homeobox D12	ENSPTRP00000060527	ENSMUSP00000001878
ENOG410VA9U	transcriptional adaptor 2A	ENSPTRP00000015434	ENSMUSP00000018795
ENOG410VA9V	Spermidine spermine N1-acetyltransferase 1	ENSPTRP00000037276	ENSMUSP00000026318
ENOG410VA9Q	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	ENSPTRP00000035369	ENSMUSP00000023221
ENOG410VA95	calcyphosine 2	ENSPTRP00000008891	ENSMUSP00000129887
ENOG410V9W4	Leucine rich repeat and fibronectin type III domain containing 2	ENSPTRP00000030995	ENSMUSP00000047573
ENOG410V9W3	LUC7-like 3 (S. cerevisiae)	ENSPTRP00000015985	ENSMUSP00000021226
ENOG410V9W2	N-acylethanolamine acid amidase	ENSPTRP00000027800	ENSMUSP00000108726
ENOG410V9W1	Component of oligomeric golgi complex 2	ENSPTRP00000003542	ENSMUSP00000034460
ENOG410V9W0	prickle homolog 4 (Drosophila)	ENSPTRP00000044495	ENSMUSP00000108925, ENSMUSP00000119045
ENOG410V9W9	forkhead box	ENSPTRP00000053374	ENSMUSP00000052196, ENSMUSP00000055290
ENOG410V9WG	kiaa1109	ENSPTRP00000028187	ENSMUSP00000060199
ENOG410V9WF	Dopamine receptor D4	ENSPTRP00000005517	ENSMUSP00000026569
ENOG410V9WE	suppressor APC domain containing 2	ENSPTRP00000040663	ENSMUSP00000028329
ENOG410V9WD	Ribosomal protein S9	ENSPTRP00000019678, ENSPTRP00000057704	ENSMUSP00000006496
ENOG410V9WC	Homeobox A2	ENSPTRP00000032491	ENSMUSP00000014848
ENOG410V9WB	Hydroxysteroid 17-beta dehydrogenase	ENSPTRP00000027926, ENSPTRP00000044863	ENSMUSP00000031251, ENSMUSP00000046772
ENOG410V9WM	Glutamate receptor, ionotropic, delta	ENSPTRP00000004712	ENSMUSP00000044009
ENOG410V9WK	SIX homeobox	ENSPTRP00000048612, ENSPTRP00000044052	ENSMUSP00000036150, ENSMUSP00000045973
ENOG410V9WJ	transmembrane BAX inhibitor motif containing 6	ENSPTRP00000008396	ENSMUSP00000023749
ENOG410V9WI	caspase 14, apoptosis-related cysteine peptidase	ENSPTRP00000060440	ENSMUSP00000005488
ENOG410V9WH	supervillin	ENSPTRP00000004060	ENSMUSP00000025079
ENOG410V9WW	Premelanosome protein	ENSPTRP00000008630	ENSMUSP00000051869
ENOG410V9WV	potassium channel tetramerisation domain containing 4	ENSPTRP00000044297	ENSMUSP00000061734
ENOG410V9WU	polymerase (DNA directed), beta	ENSPTRP00000034604	ENSMUSP00000033938
ENOG410V9WT	amyloid P component, serum	ENSPTRP00000002570	ENSMUSP00000106855, ENSMUSP00000027816, ENSMUSP00000027824
ENOG410V9WS	SERTA domain containing 2	ENSPTRP00000051930	ENSMUSP00000090981
ENOG410V9WR	Hydroxyacyl-CoA dehydrogenase	ENSPTRP00000028089	ENSMUSP00000029610
ENOG410V9WQ	Tuberous sclerosis 1	ENSPTRP00000036797	ENSMUSP00000028155
ENOG410V9WP	OTU domain containing	ENSPTRP00000011725, ENSPTRP00000002112	ENSMUSP00000046413, ENSMUSP00000057282
ENOG410V9WZ	Tyrosinase-related protein 1	ENSPTRP00000035527, ENSPTRP00000010137	ENSMUSP00000022725, ENSMUSP00000006151
ENOG410V9WY	Component of oligomeric golgi complex 5	ENSPTRP00000033525	ENSMUSP00000044797
ENOG410VEP8	Zinc finger, CCHC domain containing 9	ENSPTRP00000029184	ENSMUSP00000022121
ENOG410VEP9	Zinc finger and BTB domain containing 3	ENSPTRP00000006505	ENSMUSP00000127746
ENOG410VEP3	Lysophospholipase-like 1	ENSPTRP00000003341	ENSMUSP00000048229
ENOG410VEP1	Fibrinogen beta chain	ENSPTRP00000028385	ENSMUSP00000039472
ENOG410VEP4	TAP binding protein (tapasin)	ENSPTRP00000030816	ENSMUSP00000025161
ENOG410VEPR	Zinc finger, matrin-type 5	ENSPTRP00000024512	ENSMUSP00000009220
ENOG410VEPP	aldehyde dehydrogenase 8 family, member A1	ENSPTRP00000031795	ENSMUSP00000038878
ENOG410VEPV	TDP-glucose 4,6-dehydratase	ENSPTRP00000010139	ENSMUSP00000022727
ENOG410VEPT	bradykinin receptor B1	ENSPTRP00000052508	ENSMUSP00000045335
ENOG410VEPU	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSPTRP00000013985	ENSMUSP00000034339
ENOG410VEPJ	Ribosome binding factor A	ENSPTRP00000017223	ENSMUSP00000025462
ENOG410VEPI	G patch domain and ankyrin repeats 1	ENSPTRP00000030672	ENSMUSP00000056646
ENOG410VEPM	Ribosomal protein L11	ENSPTRP00000006759	ENSMUSP00000025836
ENOG410VEPC	taste receptor, type 2	ENSPTRP00000008012, ENSPTRP00000008011	ENSMUSP00000063954
ENOG410VEPA	NOP16 nucleolar protein homolog (Yeast)	ENSPTRP00000029988	ENSMUSP00000026987
ENOG410VEPD	crystallin, beta B1	ENSPTRP00000024446	ENSMUSP00000031286
ENOG410VEPE	Tectonic family member 2	ENSPTRP00000009529	ENSMUSP00000098272
