#ortholog	function	species_a	species_b
ENOG410VA9A	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	ENSP00000426909	GB11076-PA
ENOG410VA9U	transcriptional adaptor 2A	ENSP00000225396	GB30142-PA, GB16325-PA
ENOG410VA9Q	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	ENSP00000347206, ENSP00000456208	GB16907-PA
ENOG410V9W7	retinitis pigmentosa GTPase regulator	ENSP00000367766	GB17231-PA
ENOG410V9W3	LUC7-like 3 (S. cerevisiae)	ENSP00000240304	GB16659-PA
ENOG410V9W1	Component of oligomeric golgi complex 2	ENSP00000355629	GB18283-PA
ENOG410V9W9	forkhead box	ENSP00000370256, ENSP00000326371	GB10529-PA
ENOG410V9WG	kiaa1109	ENSP00000264501	GB14846-PA
ENOG410V9WE	suppressor APC domain containing 2	ENSP00000386348	GB19241-PA
ENOG410V9WD	Ribosomal protein S9	ENSP00000302896	GB12637-PA
ENOG410V9WC	Homeobox A2	ENSP00000222718	GB11988-PA
ENOG410V9WK	SIX homeobox	ENSP00000316842, ENSP00000216513	GB10752-PA
ENOG410V9WJ	transmembrane BAX inhibitor motif containing 6	ENSP00000389277	GB18030-PA
ENOG410V9WH	supervillin	ENSP00000348128	GB16789-PA
ENOG410V9WU	polymerase (DNA directed), beta	ENSP00000265421	GB18972-PA
ENOG410V9WQ	Tuberous sclerosis 1	ENSP00000298552	GB12676-PA
ENOG410V9WP	OTU domain containing	ENSP00000462729, ENSP00000358131, ENSP00000305926	GB17801-PA
ENOG410V9WY	Component of oligomeric golgi complex 5	ENSP00000297135	GB19185-PA
ENOG410V9WX	ATP synthase mitochondrial F1 complex assembly factor 1	ENSP00000361005	GB11124-PA
ENOG410VEP8	Zinc finger, CCHC domain containing 9	ENSP00000254037	GB15147-PA
ENOG410VEP3	Lysophospholipase-like 1	ENSP00000355895	GB12082-PA
ENOG410VEPR	Zinc finger, matrin-type 5	ENSP00000344241	GB19727-PA
ENOG410VEPV	TDP-glucose 4,6-dehydratase	ENSP00000261296	GB10527-PA
ENOG410VEPI	G patch domain and ankyrin repeats 1	ENSP00000372926, ENSP00000388586, ENSP00000365057, ENSP00000399890, ENSP00000211377, ENSP00000390746, ENSP00000389339	GB15824-PA
ENOG410VEPM	Ribosomal protein L11	ENSP00000308897	GB19567-PA
ENOG410VEPA	NOP16 nucleolar protein homolog (Yeast)	ENSP00000373810	GB14640-PA
ENOG410V4G7	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation	ENSP00000436049	GB13583-PA
ENOG410V4GP	Kinesin family member	ENSP00000287152, ENSP00000265529	GB11772-PA
ENOG410V4GW	FIC domain containing	ENSP00000446479	GB19583-PA
ENOG410V4GT	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	ENSP00000306397	GB13508-PA
ENOG410V4GH	ATP-binding cassette sub-family A ABC1 member	ENSP00000263094, ENSP00000269081, ENSP00000411096, ENSP00000301732, ENSP00000269080, ENSP00000359245, ENSP00000284425, ENSP00000272895, ENSP00000363868, ENSP00000344155, ENSP00000376443, ENSP00000342216	GB16275-PA, GB12083-PA, GB17394-PA
ENOG410VDK8	Coiled-coil domain containing 111	ENSP00000313816	GB15999-PA
ENOG410V43G	BTB POZ domain containing	ENSP00000255608, ENSP00000376337, ENSP00000367471, ENSP00000261721	GB15449-PA, GB18419-PA
ENOG410V43D	glutathione synthetase	ENSP00000216951	GB11231-PA, GB19965-PA
ENOG410V43E	Microtubule associated monoxygenase, calponin and LIM domain containing	ENSP00000416015, ENSP00000256194	GB11452-PA
ENOG410V43B	Protein phosphatase 2, regulatory subunit B''	ENSP00000375080, ENSP00000264977	GB15363-PA
ENOG410V43A	myosin Ie	ENSP00000460038, ENSP00000344871, ENSP00000288235	GB18825-PA, GB15928-PA
ENOG410V43J	collagen, type	ENSP00000359603, ENSP00000264828, ENSP00000449275, ENSP00000363840, ENSP00000297268, ENSP00000447062, ENSP00000447422, ENSP00000448715, ENSP00000448931, ENSP00000448701, ENSP00000304408, ENSP00000369889, ENSP00000225964, ENSP00000360882, ENSP00000348385	GB19550-PA
ENOG410V43K	DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)	ENSP00000199320	GB19915-PA
