ortholog	function	Mus_musculus	Rattus_norvegicus
ENOG410VA9E	palladin, cytoskeletal associated protein	ENSMUSP00000034057, ENSMUSP00000093240	ENSRNOP00000059489, ENSRNOP00000054681
ENOG410VA9I	hepatocyte nuclear factor 4	ENSMUSP00000017832, ENSMUSP00000018094	ENSRNOP00000011978, ENSRNOP00000011890
ENOG410VA9J	Homeobox D12	ENSMUSP00000001878	ENSRNOP00000059759
ENOG410VA9U	transcriptional adaptor 2A	ENSMUSP00000018795	ENSRNOP00000003699
ENOG410VA9V	Spermidine spermine N1-acetyltransferase 1	ENSMUSP00000026318	ENSRNOP00000062939
ENOG410VA9Q	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	ENSMUSP00000023221	ENSRNOP00000050220
ENOG410VQN4	7 transmembrane receptor (rhodopsin family)	ENSMUSP00000097511	ENSRNOP00000051044
ENOG410VA95	calcyphosine 2	ENSMUSP00000129887	ENSRNOP00000035894
ENOG410V9W7	retinitis pigmentosa GTPase regulator	ENSMUSP00000037358	ENSRNOP00000060034, ENSRNOP00000065094
ENOG410V9W4	Leucine rich repeat and fibronectin type III domain containing 2	ENSMUSP00000047573	ENSRNOP00000015705
ENOG410V9W3	LUC7-like 3 (S. cerevisiae)	ENSMUSP00000021226	ENSRNOP00000003914
ENOG410V9W2	N-acylethanolamine acid amidase	ENSMUSP00000108726	ENSRNOP00000003102
ENOG410V9W1	Component of oligomeric golgi complex 2	ENSMUSP00000034460	ENSRNOP00000054881
ENOG410V9W0	prickle homolog 4 (Drosophila)	ENSMUSP00000119045, ENSMUSP00000108925	ENSRNOP00000019177
ENOG410V9W9	forkhead box	ENSMUSP00000052196, ENSMUSP00000055290	ENSRNOP00000067211, ENSRNOP00000065254
ENOG410V9WG	kiaa1109	ENSMUSP00000060199	ENSRNOP00000055350
ENOG410V9WF	Dopamine receptor D4	ENSMUSP00000026569	ENSRNOP00000043759, ENSRNOP00000024137
ENOG410V9WE	suppressor APC domain containing 2	ENSMUSP00000028329	ENSRNOP00000017466
ENOG410V9WD	Ribosomal protein S9	ENSMUSP00000006496	ENSRNOP00000056750, ENSRNOP00000066792
ENOG410V9WC	Homeobox A2	ENSMUSP00000014848	ENSRNOP00000008023, ENSRNOP00000064446
ENOG410V9WB	Hydroxysteroid 17-beta dehydrogenase	ENSMUSP00000046772, ENSMUSP00000031251	ENSRNOP00000029333, ENSRNOP00000003004
ENOG410V9WK	SIX homeobox	ENSMUSP00000045973, ENSMUSP00000036150	ENSRNOP00000050667, ENSRNOP00000020597
ENOG410V9WJ	transmembrane BAX inhibitor motif containing 6	ENSMUSP00000023749	ENSRNOP00000048834
ENOG410V9WI	caspase 14, apoptosis-related cysteine peptidase	ENSMUSP00000005488	ENSRNOP00000009643
ENOG410V9WH	supervillin	ENSMUSP00000025079	ENSRNOP00000025037
ENOG410V9WV	potassium channel tetramerisation domain containing 4	ENSMUSP00000061734	ENSRNOP00000065668
ENOG410V9WU	polymerase (DNA directed), beta	ENSMUSP00000033938	ENSRNOP00000026039
ENOG410V9WT	amyloid P component, serum	ENSMUSP00000027816, ENSMUSP00000027824, ENSMUSP00000106855	ENSRNOP00000012092, ENSRNOP00000067540
ENOG410V9WS	SERTA domain containing 2	ENSMUSP00000090981	ENSRNOP00000007162
ENOG410V9WR	Hydroxyacyl-CoA dehydrogenase	ENSMUSP00000029610	ENSRNOP00000014658
ENOG410V9WQ	Tuberous sclerosis 1	ENSMUSP00000028155	ENSRNOP00000016904
ENOG410V9WP	OTU domain containing	ENSMUSP00000057282, ENSMUSP00000046413	ENSRNOP00000039488, ENSRNOP00000021068
ENOG410V9WZ	Tyrosinase-related protein 1	ENSMUSP00000022725, ENSMUSP00000006151	ENSRNOP00000041764, ENSRNOP00000011571
ENOG410V9WY	Component of oligomeric golgi complex 5	ENSMUSP00000044797	ENSRNOP00000011718
ENOG410V9WX	ATP synthase mitochondrial F1 complex assembly factor 1	ENSMUSP00000135831	ENSRNOP00000013533
ENOG410VEP8	Zinc finger, CCHC domain containing 9	ENSMUSP00000022121	ENSRNOP00000020111
ENOG410VEP9	Zinc finger and BTB domain containing 3	ENSMUSP00000127746	ENSRNOP00000026320
ENOG410VEP0	family with sequence similarity 205, member C, pseudogene	ENSMUSP00000060318	ENSRNOP00000038393
ENOG410VEP4	TAP binding protein (tapasin)	ENSMUSP00000025161	ENSRNOP00000045630
ENOG410VEPR	Zinc finger, matrin-type 5	ENSMUSP00000009220	ENSRNOP00000010332
ENOG410VEPP	aldehyde dehydrogenase 8 family, member A1	ENSMUSP00000038878	ENSRNOP00000020015
ENOG410VEPT	bradykinin receptor B1	ENSMUSP00000045335	ENSRNOP00000005953
ENOG410VEPU	Cadherins are calcium dependent cell adhesion proteins (By similarity)	ENSMUSP00000034339	ENSRNOP00000017983
ENOG410VEPI	G patch domain and ankyrin repeats 1	ENSMUSP00000056646	ENSRNOP00000001124
ENOG410VEPM	Ribosomal protein L11	ENSMUSP00000025836	ENSRNOP00000027091
ENOG410VEPC	taste receptor, type 2	ENSMUSP00000063954	ENSRNOP00000036964, ENSRNOP00000007435
ENOG410VEPA	NOP16 nucleolar protein homolog (Yeast)	ENSMUSP00000026987	ENSRNOP00000023320
ENOG410VEPD	crystallin, beta B1	ENSMUSP00000031286	ENSRNOP00000064741
ENOG410V4G9	Elastin microfibril interfacer 1	ENSMUSP00000031055	ENSRNOP00000010932
ENOG410V4G6	deoxyguanosine kinase	ENSMUSP00000014698	ENSRNOP00000062535
ENOG410V4G7	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is required for several steps in the initiation of protein synthesis. The eIF-3 complex associates with the 40S ribosome and facilitates the recruitment of eIF-1, eIF-1A, eIF-2 GTP methionyl-tRNAi and eIF-5 to form the 43S preinitiation complex (43S PIC). The eIF-3 complex stimulates mRNA recruitment to the 43S PIC and scanning of the mRNA for AUG recognition. The eIF-3 complex is also required for disassembly and recycling of post-termination ribosomal complexes and subsequently prevents premature joining of the 40S and 60S ribosomal subunits prior to initiation	ENSMUSP00000028592	ENSRNOP00000017409
ENOG410V4GP	Kinesin family member	ENSMUSP00000057896, ENSMUSP00000124674	ENSRNOP00000015584, ENSRNOP00000028364
ENOG410V4GV	prostaglandin F2 receptor negative regulator	ENSMUSP00000099755	ENSRNOP00000021162
ENOG410V4GW	FIC domain containing	ENSMUSP00000071719	ENSRNOP00000000892
ENOG410V4GT	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity)	ENSMUSP00000045284	ENSRNOP00000024609
ENOG410V4GJ	coagulation factor XII (Hageman factor)	ENSMUSP00000021948, ENSMUSP00000030985	ENSRNOP00000061983, ENSRNOP00000013257
ENOG410V4GH	ATP-binding cassette sub-family A ABC1 member	ENSMUSP00000084523, ENSMUSP00000047927, ENSMUSP00000013995, ENSMUSP00000099983, ENSMUSP00000043090, ENSMUSP00000045285, ENSMUSP00000030010, ENSMUSP00000045808, ENSMUSP00000040465, ENSMUSP00000035458, ENSMUSP00000020948, ENSMUSP00000081690, ENSMUSP00000036338	ENSRNOP00000024564, ENSRNOP00000063805, ENSRNOP00000005848, ENSRNOP00000065682, ENSRNOP00000017878, ENSRNOP00000005665, ENSRNOP00000005489, ENSRNOP00000065573, ENSRNOP00000054481, ENSRNOP00000020339, ENSRNOP00000005775
ENOG410V4GB	Protocadherin 17	ENSMUSP00000071325	ENSRNOP00000046413
ENOG410VDKZ	chromosome 1 open reading frame 110	ENSMUSP00000091908	ENSRNOP00000034445
ENOG410VDKS	Leucine rich repeat containing 42	ENSMUSP00000030360	ENSRNOP00000013575
ENOG410VDKQ	Myogenin (Myogenic factor 4)	ENSMUSP00000027730	ENSRNOP00000039817
ENOG410VDK8	Coiled-coil domain containing 111	ENSMUSP00000036119	ENSRNOP00000030019
ENOG410VK8X	chromosome 11 open reading frame 34	ENSMUSP00000110118	ENSRNOP00000055980
ENOG410V43G	BTB POZ domain containing	ENSMUSP00000074864, ENSMUSP00000002880, ENSMUSP00000003434, ENSMUSP00000026093	ENSRNOP00000026595, ENSRNOP00000019768, ENSRNOP00000010835, ENSRNOP00000025391
ENOG410V43D	glutathione synthetase	ENSMUSP00000078630	ENSRNOP00000025657
ENOG410V43E	Microtubule associated monoxygenase, calponin and LIM domain containing	ENSMUSP00000047639, ENSMUSP00000096056, ENSMUSP00000076402	ENSRNOP00000031570, ENSRNOP00000021858
ENOG410V43B	Protein phosphatase 2, regulatory subunit B''	ENSMUSP00000075327	ENSRNOP00000010321
ENOG410V43A	myosin Ie	ENSMUSP00000084887, ENSMUSP00000034745	ENSRNOP00000011513
ENOG410V43M	Lipoprotein lipase	ENSMUSP00000066536, ENSMUSP00000015712	ENSRNOP00000025257, ENSRNOP00000016543
ENOG410V43J	collagen, type	ENSMUSP00000004201, ENSMUSP00000001547, ENSMUSP00000031668, ENSMUSP00000085192, ENSMUSP00000043816, ENSMUSP00000029848, ENSMUSP00000028280, ENSMUSP00000089793, ENSMUSP00000084772	ENSRNOP00000004956, ENSRNOP00000023794, ENSRNOP00000005311, ENSRNOP00000027897, ENSRNOP00000016044, ENSRNOP00000019210, ENSRNOP00000010333
ENOG410V43K	DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)	ENSMUSP00000022203	ENSRNOP00000018527
ENOG410V43H	Mitochondrial ribosomal protein S25	ENSMUSP00000114402	ENSRNOP00000014933
ENOG410V43I	Asparagine-linked glycosylation 8, alpha-1,3-glucosyltransferase homolog (S. cerevisiae)	ENSMUSP00000095901	ENSRNOP00000016478
ENOG410V43V	family with sequence similarity	ENSMUSP00000097152, ENSMUSP00000069112	ENSRNOP00000003145, ENSRNOP00000060417
ENOG410V43W	nitric oxide associated 1	ENSMUSP00000045948	ENSRNOP00000061404
ENOG410V43T	N-terminal asparagine	ENSMUSP00000023362	ENSRNOP00000004429
ENOG410V43U	kiaa0284	ENSMUSP00000098580	ENSRNOP00000033816
ENOG410V43S	Reticulon 4 receptor-like	ENSMUSP00000057725, ENSMUSP00000099572	ENSRNOP00000032922, ENSRNOP00000058866
ENOG410V43Q	copine III	ENSMUSP00000024805, ENSMUSP00000049663, ENSMUSP00000045755, ENSMUSP00000029885, ENSMUSP00000073847, ENSMUSP00000105236, ENSMUSP00000042159, ENSMUSP00000067774, ENSMUSP00000044416	ENSRNOP00000024978, ENSRNOP00000037093, ENSRNOP00000063507, ENSRNOP00000059939, ENSRNOP00000016749, ENSRNOP00000008281, ENSRNOP00000026657, ENSRNOP00000043185, ENSRNOP00000059795, ENSRNOP00000000629
ENOG410V43Z	CCR4-NOT transcription complex subunit	ENSMUSP00000034012, ENSMUSP00000020822	ENSRNOP00000016882, ENSRNOP00000003555
ENOG410V43X	UDP-N-acetyl-alpha-D-galactosamine polypeptide N-acetylgalactosaminyltransferase	ENSMUSP00000063464, ENSMUSP00000000430, ENSMUSP00000045721, ENSMUSP00000028378, ENSMUSP00000056705, ENSMUSP00000125315	ENSRNOP00000022117, ENSRNOP00000042281, ENSRNOP00000011112, ENSRNOP00000007615, ENSRNOP00000042772
ENOG410V43Y	ELAV (embryonic lethal, abnormal vision, Drosophila)-like	ENSMUSP00000099863, ENSMUSP00000102207, ENSMUSP00000003501, ENSMUSP00000096549	ENSRNOP00000018416, ENSRNOP00000037614
ENOG410V7Q0	FERM domain containing	ENSMUSP00000052202	ENSRNOP00000009610
ENOG410V437	This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)	ENSMUSP00000005651	ENSRNOP00000001961
ENOG410V434	mitogen-activated protein kinase kinase kinase	ENSMUSP00000047388, ENSMUSP00000023812	ENSRNOP00000038786, ENSRNOP00000020437
ENOG410V435	hyaluronoglucosaminidase 3	ENSMUSP00000042667	ENSRNOP00000021590
ENOG410V433	bicaudal D homolog	ENSMUSP00000084039, ENSMUSP00000039394	ENSRNOP00000052303
ENOG410V430	translocase of inner mitochondrial membrane 21 homolog (yeast)	ENSMUSP00000025547	ENSRNOP00000045041, ENSRNOP00000020376
ENOG410V431	SH2B adaptor protein	ENSMUSP00000005188, ENSMUSP00000032978	ENSRNOP00000001935, ENSRNOP00000066048
ENOG410V439	Zinc finger protein 622	ENSMUSP00000059678	ENSRNOP00000060898
ENOG410VK87	Ubiquitin-fold modifier 1	ENSMUSP00000118478	ENSRNOP00000054923
ENOG410V7QE	member RAS oncogene family	ENSMUSP00000063804, ENSMUSP00000033545	ENSRNOP00000011913
ENOG410VJWG	immunoglobulin lambda-like polypeptide	ENSMUSP00000097713	ENSRNOP00000031750
ENOG410V5ZH	Transmembrane protease serine 15	ENSMUSP00000023566	ENSRNOP00000042615
