ENOG410VA9E	ENSP00000425556, ENSP00000351790	ENSMUSP00000034057, ENSMUSP00000093240
ENOG410VA9G	ENSP00000264716	ENSMUSP00000031017
ENOG410VA9A	ENSP00000426909	ENSMUSP00000020640
ENOG410VA9I	ENSP00000379701, ENSP00000312987	ENSMUSP00000018094, ENSMUSP00000017832
ENOG410VA9J	ENSP00000385586	ENSMUSP00000001878
ENOG410VA9U	ENSP00000225396	ENSMUSP00000018795
ENOG410VA9V	ENSP00000368572	ENSMUSP00000026318
ENOG410VA9Q	ENSP00000347206, ENSP00000456208	ENSMUSP00000023221
ENOG410VA95	ENSP00000386959	ENSMUSP00000129887
ENOG410V9W7	ENSP00000367766	ENSMUSP00000037358
ENOG410V9W4	ENSP00000345985	ENSMUSP00000047573
ENOG410V9W3	ENSP00000240304	ENSMUSP00000021226
ENOG410V9W2	ENSP00000286733	ENSMUSP00000108726
ENOG410V9W1	ENSP00000355629	ENSMUSP00000034460
ENOG410V9W0	ENSP00000335185	ENSMUSP00000119045, ENSMUSP00000108925
ENOG410V9W9	ENSP00000370256, ENSP00000326371	ENSMUSP00000052196, ENSMUSP00000055290
ENOG410V9WG	ENSP00000264501	ENSMUSP00000060199
ENOG410V9WF	ENSP00000176183	ENSMUSP00000026569
ENOG410V9WE	ENSP00000386348	ENSMUSP00000028329
ENOG410V9WD	ENSP00000302896	ENSMUSP00000006496
ENOG410V9WC	ENSP00000222718	ENSMUSP00000014848
ENOG410V9WB	ENSP00000333300, ENSP00000351035	ENSMUSP00000031251, ENSMUSP00000046772
ENOG410V9WM	ENSP00000330148	ENSMUSP00000044009
ENOG410V9WK	ENSP00000316842, ENSP00000216513	ENSMUSP00000036150, ENSMUSP00000045973
ENOG410V9WJ	ENSP00000389277	ENSMUSP00000023749
ENOG410V9WI	ENSP00000221740	ENSMUSP00000005488
ENOG410V9WH	ENSP00000348128	ENSMUSP00000025079
ENOG410V9WW	ENSP00000402758	ENSMUSP00000051869
ENOG410V9WV	ENSP00000368402	ENSMUSP00000061734
ENOG410V9WU	ENSP00000265421	ENSMUSP00000033938
ENOG410V9WT	ENSP00000255040	ENSMUSP00000106855, ENSMUSP00000027816, ENSMUSP00000027824
ENOG410V9WS	ENSP00000326933	ENSMUSP00000090981
ENOG410V9WR	ENSP00000385638	ENSMUSP00000029610
ENOG410V9WQ	ENSP00000298552	ENSMUSP00000028155
ENOG410V9WP	ENSP00000305926, ENSP00000358131, ENSP00000462729	ENSMUSP00000057282, ENSMUSP00000046413
ENOG410V9WZ	ENSP00000392762, ENSP00000373570	ENSMUSP00000006151, ENSMUSP00000022725
ENOG410V9WY	ENSP00000297135	ENSMUSP00000044797
ENOG410V9WX	ENSP00000361005	ENSMUSP00000135831
ENOG410VEP8	ENSP00000254037	ENSMUSP00000022121
ENOG410VEP9	ENSP00000378286	ENSMUSP00000127746
ENOG410VEP3	ENSP00000355895	ENSMUSP00000048229
ENOG410VEP1	ENSP00000306099	ENSMUSP00000039472
ENOG410VEP4	ENSP00000372684, ENSP00000378546, ENSP00000404833, ENSP00000372542, ENSP00000407195	ENSMUSP00000025161
ENOG410VEPR	ENSP00000344241	ENSMUSP00000009220
ENOG410VEPP	ENSP00000265605	ENSMUSP00000038878
ENOG410VEPV	ENSP00000261296	ENSMUSP00000022727
ENOG410VEPT	ENSP00000216629	ENSMUSP00000045335
ENOG410VEPU	ENSP00000344115	ENSMUSP00000034339
ENOG410VEPJ	ENSP00000305696	ENSMUSP00000025462
ENOG410VEPI	ENSP00000211377, ENSP00000389339, ENSP00000372926, ENSP00000388586, ENSP00000365057, ENSP00000399890, ENSP00000390746	ENSMUSP00000056646
ENOG410VEPM	ENSP00000308897	ENSMUSP00000025836
ENOG410VEPC	ENSP00000458498, ENSP00000458761, ENSP00000459504, ENSP00000240615, ENSP00000461158, ENSP00000240687	ENSMUSP00000063954
ENOG410VEPA	ENSP00000373810	ENSMUSP00000026987
ENOG410VEPD	ENSP00000215939	ENSMUSP00000031286
ENOG410VEPE	ENSP00000304941	ENSMUSP00000098272
ENOG410V4G9	ENSP00000369677	ENSMUSP00000031055
ENOG410V4G6	ENSP00000264093	ENSMUSP00000014698
ENOG410V4G7	ENSP00000436049	ENSMUSP00000028592
ENOG410V4GP	ENSP00000287152, ENSP00000265529	ENSMUSP00000124674, ENSMUSP00000057896
ENOG410V4GV	ENSP00000376899	ENSMUSP00000099755
ENOG410V4GW	ENSP00000446479	ENSMUSP00000071719
ENOG410V4GT	ENSP00000306397	ENSMUSP00000045284
ENOG410V4GJ	ENSP00000372224, ENSP00000253496	ENSMUSP00000030985, ENSMUSP00000021948
ENOG410V4GH	ENSP00000269081, ENSP00000411096, ENSP00000263094, ENSP00000359245, ENSP00000269080, ENSP00000344155, ENSP00000284425, ENSP00000363868, ENSP00000376443, ENSP00000272895, ENSP00000301732, ENSP00000342216	ENSMUSP00000020948, ENSMUSP00000084523, ENSMUSP00000047927, ENSMUSP00000099983, ENSMUSP00000040465, ENSMUSP00000030010, ENSMUSP00000081690, ENSMUSP00000045285, ENSMUSP00000035458, ENSMUSP00000036338, ENSMUSP00000013995, ENSMUSP00000045808, ENSMUSP00000043090
ENOG410V4GB	ENSP00000367151	ENSMUSP00000071325
ENOG410V4GG	ENSP00000263033	ENSMUSP00000033608
ENOG410VDKZ	ENSP00000356886	ENSMUSP00000091908
ENOG410VDKS	ENSP00000318185	ENSMUSP00000030360
ENOG410VDKQ	ENSP00000241651	ENSMUSP00000027730
ENOG410VDK8	ENSP00000313816	ENSMUSP00000036119
ENOG410VK8X	ENSP00000341412	ENSMUSP00000110118
ENOG410V43G	ENSP00000255608, ENSP00000367471, ENSP00000376337, ENSP00000261721	ENSMUSP00000074864, ENSMUSP00000026093, ENSMUSP00000003434, ENSMUSP00000002880
